time,ehux,bacteria,sytox+,dmsp,d7_present,exp
0,246239.23929252726,95740.888489025427,,,0,1
0,220751.17597699683,97894.253811247647,,,0,1
0,245383.8675922433,60936.389180405553,,,0,1
2,633490.87983126845,100826.50296649405,,,0,1
2,627061.86668186705,71835.394325003843,,,0,1
2,655387.10775807558,101308.56901646267,,,0,1
4,1554661.836101329,83724.729426179299,,,0,1
4,1544663.5845270641,76893.243174881543,,,0,1
4,1517089.1323959155,87241.003271537615,,,0,1
5,2005014.3824388697,199904.80723465016,,,0,1
5,2026774.1555843242,210618.69240895129,,,0,1
5,2021723.0941272567,162733.9300244101,,,0,1
7,2331579.7425743071,1239186.7413790184,,,0,1
7,2338201.5643442757,1296075.0996786733,,,0,1
7,2429148.8855526876,701944.20963651722,,,0,1
8,2622780.0073184166,230717.73127564244,,,0,1
8,2750158.0610594368,245968.84394643348,,,0,1
8,2829349.79545704,246730.48402318999,,,0,1
9,2828059.394909855,520835.08571236324,,,0,1
9,2920920.7123457291,300782.44080886093,,,0,1
9,2906039.1000629114,489473.95034468803,,,0,1
10,3164633.697339722,298989.89898989903,,,0,1
10,3151986.5694697867,320779.61628261086,,,0,1
10,3166563.6044152873,337295.53997764899,,,0,1
11,2880614.6038876018,5478528.950959417,,,0,1
11,3114562.1522684027,1376913.082361676,,,0,1
11,2905482.1174275568,952718.79592560686,,,0,1
12,3497661.026258355,988152.25611293153,,,0,1
12,3661861.3898189422,750063.34994509665,,,0,1
12,3718503.175204928,798716.1077793733,,,0,1
13,2888182.3575259345,873904.24814565061,,,0,1
13,3221951.3450502101,998618.64492436219,,,0,1
13,3187175.8798990762,973120.91365241352,,,0,1
14,2665765.8624250637,1572246.5476591445,,,0,1
14,2985356.7166268276,1191097.0542218334,,,0,1
14,2824618.826280768,1608297.4137931033,,,0,1
15,2991701.7877937946,1830658.996871531,,,0,1
15,3315054.2735530459,1387959.585091539,,,0,1
15,3270522.2730945004,1475368.4210526317,,,0,1
16,3298213.7478064913,1727315.5310419051,,,0,1
16,3695483.3587112315,1913540.7905803195,,,0,1
16,3717920.9289049269,1727460.7739266434,,,0,1
17,3166939.9563227063,2665321.563682219,,,0,1
17,3551965.0676158099,2970137.2074253424,,,0,1
17,3715614.0594052374,2439918.6021089456,,,0,1
0,239294.23051677129,59886.422302529696,,,1,1
0,231101.74023899098,45933.014354066996,,,1,1
0,222677.60580484068,51602.249858093812,,,1,1
2,591942.10889243055,1362694.3878152748,,,1,1
2,571881.89942716307,1260415.0886229358,,,1,1
2,535185.16185090854,1421700.1670801481,,,1,1
4,1395117.0372811037,1920936.2546451211,,,1,1
4,1454621.8398540965,1696177.3674545547,,,1,1
4,1444584.9738615057,1687925.3844214771,,,1,1
5,1925971.6449602088,2445438.3428052603,,,1,1
5,1983929.8598030154,2047623.0542700882,,,1,1
5,2075122.8482463947,1882289.5804231111,,,1,1
7,2310655.9389732387,3248102.0755129866,,,1,1
7,2421718.1331827887,3526682.1345707653,,,1,1
7,2260332.6235280642,1489426.2875645044,,,1,1
8,2720289.815109537,2818067.6689177728,,,1,1
8,2780006.9302225383,2752349.1967262812,,,1,1
8,2732187.5680490988,3173193.3790876064,,,1,1
9,2920044.5290259118,4192122.1189247346,,,1,1
